id,alias,name,review_count,rating,price,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.zip_code,location.country,location.display_address
vKdd8f6jZbAXFratriWnLQ,accasbel-lyon,Accasbel,7,4.5,€€€,45.7506741122351,4.82648089528084,20 place Carnot,,,69002,FR,"['20 place Carnot', '69002 Lyon', 'France']"
EglDuZ2j8I57v8odY8EzZQ,l-enk-fée-lyon,L'EnK Fée,2,4.0,€€,45.7503395,4.8287001,14 place Carnot,,,69002,FR,"['14 place Carnot', '69002 Lyon', 'France']"
NYzLw-oL5qb-yPF785Kl0A,brasserie-chavant-lyon,Brasserie Chavant,7,3.5,€€€€,45.75949,4.83167,8 place des Célestins,,,69002,FR,"['8 place des Célestins', '69002 Lyon', 'France']"
hsuJCcD1xQHMmc0wZHh-GQ,le-p-tit-boulevard-lyon,Le P'tit Boulevard,4,4.5,€€,45.76865,4.85684,20 bd des Brotteaux,,,69006,FR,"['20 bd des Brotteaux', '69006 Lyon', 'France']"
vC1tCeP7dtJ99bLoun2YvQ,buvette-de-l-observatoire-lyon,Buvette de l'Observatoire,3,2.5,€€,45.7805263,4.8538857,Parc Tête d'Or,,,69006,FR,"[""Parc Tête d'Or"", '69006 Lyon', 'France']"
PgKa8pLfjiFxNydt7O9CZw,la-patrie-lyon,La Patrie,6,3.0,€€,45.7635761,4.8449247,58 avenue Maréchal de Saxe,,,69003,FR,"['58 avenue Maréchal de Saxe', '69003 Lyon', 'France']"
4rZwvyjfL7kR6rPB8ebxMQ,espace-brasserie-lyon,Espace Brasserie,21,3.0,€€,45.75686,4.83105,26 Place Bellecour,,,69002,FR,"['26 Place Bellecour', '69002 Lyon', 'France']"
X4lnh6wI-ZpSKjrlrsiOTQ,le-comptoir-du-narval-lyon-2,Le Comptoir du Narval,2,2.5,,45.7564142397727,4.79738563299179,70 avenue Point du Jour,,,69005,FR,"['70 avenue Point du Jour', '69005 Lyon', 'France']"
OvTr8tDVpYZiq3WpgibZ4Q,brasserie-jullien-lyon,Brasserie Jullien,3,4.5,,45.76626,4.85677,44 boulevard des Brotteaux,,,69006,FR,"['44 boulevard des Brotteaux', '69006 Lyon', 'France']"
HO5v2ORRB4dgKH6CR5fzOw,le-panda-lyon,Le Panda,5,3.0,€€€,45.7656677,4.8443348,34 Avenue Mar De Saxe,,,69003,FR,"['34 Avenue Mar De Saxe', '69003 Lyon', 'France']"
QTYSDsnetO64mg8FSiwmBw,le-bistrot-de-lyon-lyon,Le Bistrot de Lyon,35,3.0,€€€,45.7620883004202,4.832814,64 rue Mercière,,,69002,FR,"['64 rue Mercière', '69002 Lyon', 'France']"
kCXbi2WpVi3dvXOZ7Bew1w,le-commerce-lyon,Le Commerce,1,5.0,€€,45.776767,4.834993,17 rue Dumenge,,,69004,FR,"['17 rue Dumenge', '69004 Lyon', 'France']"
-AA3PUALwZ7v_TpXwB47zA,le-rive-gauche-lyon,Le Rive Gauche,35,3.5,€€€,45.76920810592,4.847421005534,31 cours Franklin Roosevelt,,,69006,FR,"['31 cours Franklin Roosevelt', '69006 Lyon', 'France']"
z-2WbvQr2kOmty7eJvn49w,la-fabryk-lyon,La Fabryk,15,3.5,€€,45.73668,4.86964,74 boulevard Jean XXIII,,,69008,FR,"['74 boulevard Jean XXIII', '69008 Lyon', 'France']"
NZMycqO82kBJZVQ7F5xR5g,les-dunes-lyon,Les Dunes,2,4.0,,45.75558,4.87512,213 Ave Félix Faure,,,69003,FR,"['213 Ave Félix Faure', '69003 Lyon', 'France']"
Tqpu7xjRCunlIlllTxNiAg,brasserie-de-la-villette-lyon,Brasserie de la Villette,4,3.5,€€,45.75709,4.86245,209 rue Paul Bert,,,69003,FR,"['209 rue Paul Bert', '69003 Lyon', 'France']"
-TrYq43zGViouKfgHOq5YA,le-théodore-lyon-5,Le Théodore,28,3.5,€€€,45.7688002002204,4.84688591752008,34 cours Franklin Roosevelt,,,69006,FR,"['34 cours Franklin Roosevelt', '69006 Lyon', 'France']"
EfchR_eYwLaSPvfdJUBZsA,l-autre-monde-lyon,L'Autre Monde,0,0.0,,45.73066,4.83013,231 rue Marcel Mérieux,,,69007,FR,"['231 rue Marcel Mérieux', '69007 Lyon', 'France']"
KZGIEZ7XFqrzNMDhfy0HkQ,brasserie-debourg-lyon,Brasserie Debourg,6,3.5,€€,45.7315347659882,4.82967864759844,29 avenue Debourg,,,69007,FR,"['29 avenue Debourg', '69007 Lyon', 'France']"
5bZ-XaOcGCFVsk76xlmUbA,l-antisèche-lyon,L'Antisèche,2,4.0,€,45.75206995,4.839845,17 rue Salomon Reinach,,,69007,FR,"['17 rue Salomon Reinach', '69007 Lyon', 'France']"
DkPzsTZJLB9mZftmYFf06w,le-rockfeller-lyon-2,Le Rockfeller,4,3.5,,45.741265,4.888346,61 avenue du Rockfeller,,,69003,FR,"['61 avenue du Rockfeller', '69003 Lyon', 'France']"
vfoNXWC9Vtl2pYPBxovslA,le-saxe-lyon-3,Le Saxe,2,3.0,€€,45.75955,4.84579,101 avenue Maréchal de Saxe,,,69003,FR,"['101 avenue Maréchal de Saxe', '69003 Lyon', 'France']"
R1TtI4WTnqGoCHyIfKvisw,brasserie-la-cote-d-azur-lyon-2,Brasserie la Cote d'Azur,4,4.0,,45.750462,4.845185,27 rue de la Thibaudière,,,69007,FR,"['27 rue de la Thibaudière', '69007 Lyon', 'France']"
0R4_8jIY4xt-2rVS6sz1Gg,brasserie-l-est-lyon,Brasserie l'Est,210,3.5,€€€,45.768289,4.859577,14 place Jules Ferry,,Gare des Brotteaux,69006,FR,"['14 place Jules Ferry', 'Gare des Brotteaux', '69006 Lyon', 'France']"
8okUe5bwYSQ-KdBwaZLWoQ,le-grand-café-de-genève-lyon,Le Grand Café de Genève,13,3.0,€€,45.76776,4.84391,10 ave du Maréchal de Saxe,,,69006,FR,"['10 ave du Maréchal de Saxe', '69006 Lyon', 'France']"
IgyOuhkpk_Ylw3O3Ldvt5g,le-bistrot-d-odette-lyon,Le Bistrot d'Odette,0,0.0,,45.7596,4.84597,101 avenue Maréchal de Saxe,,,69003,FR,"['101 avenue Maréchal de Saxe', '69003 Lyon', 'France']"
QtpiWhN3YyvmLb9lGIAzEw,le-morand-lyon-4,Le Morand,1,3.0,,45.76947,4.84369,67 ave Mar Foch,,,69006,FR,"['67 ave Mar Foch', '69006 Lyon', 'France']"
1ZzD1b5hnlpHV9pJ1OlQZA,l-ouest-lyon-4,L'Ouest,239,3.5,€€€,45.785531,4.812627,1 quai du Commerce,,,69009,FR,"['1 quai du Commerce', '69009 Lyon', 'France']"
Mz4gb7CqA5mPGEdijCwHug,boston-tavern-lyon,Boston Tavern,34,3.5,€€,45.7676934,4.8329496,8 place des Terreaux,,,69001,FR,"['8 place des Terreaux', '69001 Lyon', 'France']"
ThHrMSRQr4adMOFTT4tASg,le-central-lyon,Le Central,1,4.0,,45.7646299,4.86215,177 avenue Thiers,,,69006,FR,"['177 avenue Thiers', '69006 Lyon', 'France']"
tXBfEe2oywbGGt-yb_0-Ng,elephant-et-castle-lyon,Elephant & Castle,47,3.5,€€,45.766116,4.8285823,16 quai de Bondy,,,69005,FR,"['16 quai de Bondy', '69005 Lyon', 'France']"
yQ6V9bo1yOJ6P2FQZ5AkbA,l-espace-carnot-lyon-2,L'Espace Carnot,50,3.5,€€,45.75174,4.82815,4 Place Carnot,,,69002,FR,"['4 Place Carnot', '69002 Lyon', 'France']"
